################################################################################
  [Comment]
그냥 잘나왔던거 테스트
################################################################################



Model         : resnetbase
  load_state  : 
Dataset       : MaskDataset
  train_len         15120
  test_len           3780
Train_trans   : basic_train_trans
Test_trans    : basic_test_trans
Start_Date    : 20210826_145028
Device        : cuda:0
CLASS_NUM     : 18
NUM_WORKERS   : 4
BATCH_SIZE    : 32
NUM_EPOCH     : 50
SAVE_INTERVAL : 3



[TRAIN] Epoch 000 // (avg) Loss : 1.411, Accuracy : 0.565, F1 : 0.278
[TEST ] Epoch 000 // (avg) Loss : 4.736, Accuracy : 0.349, F1 : 0.015
[TRAIN] Epoch 001 // (avg) Loss : 1.298, Accuracy : 0.567, F1 : 0.279
[TEST ] Epoch 001 // (avg) Loss : 44.037, Accuracy : 0.030, F1 : 0.158
[TRAIN] Epoch 002 // (avg) Loss : 1.282, Accuracy : 0.584, F1 : 0.279
[TEST ] Epoch 002 // (avg) Loss : 1.804, Accuracy : 0.419, F1 : 0.169
[TRAIN] Epoch 003 // (avg) Loss : 1.178, Accuracy : 0.608, F1 : 0.283
[TEST ] Epoch 003 // (avg) Loss : 1.185, Accuracy : 0.465, F1 : 0.216
[TRAIN] Epoch 004 // (avg) Loss : 1.081, Accuracy : 0.632, F1 : 0.284
[TEST ] Epoch 004 // (avg) Loss : 1.346, Accuracy : 0.412, F1 : 0.236
[TRAIN] Epoch 005 // (avg) Loss : 1.001, Accuracy : 0.650, F1 : 0.285
[TEST ] Epoch 005 // (avg) Loss : 3.487, Accuracy : 0.122, F1 : 0.161
[TRAIN] Epoch 006 // (avg) Loss : 0.939, Accuracy : 0.668, F1 : 0.286
[TEST ] Epoch 006 // (avg) Loss : 1.880, Accuracy : 0.394, F1 : 0.138
[TRAIN] Epoch 007 // (avg) Loss : 0.868, Accuracy : 0.689, F1 : 0.287
[TEST ] Epoch 007 // (avg) Loss : 2.085, Accuracy : 0.422, F1 : 0.155
[TRAIN] Epoch 008 // (avg) Loss : 0.828, Accuracy : 0.703, F1 : 0.287
[TEST ] Epoch 008 // (avg) Loss : 2.040, Accuracy : 0.431, F1 : 0.157
[TRAIN] Epoch 009 // (avg) Loss : 0.743, Accuracy : 0.726, F1 : 0.288
[TEST ] Epoch 009 // (avg) Loss : 1.401, Accuracy : 0.617, F1 : 0.256
[TRAIN] Epoch 010 // (avg) Loss : 0.666, Accuracy : 0.756, F1 : 0.289
[TEST ] Epoch 010 // (avg) Loss : 0.829, Accuracy : 0.734, F1 : 0.284
[TRAIN] Epoch 011 // (avg) Loss : 0.584, Accuracy : 0.792, F1 : 0.289
[TEST ] Epoch 011 // (avg) Loss : 0.833, Accuracy : 0.707, F1 : 0.299
[TRAIN] Epoch 012 // (avg) Loss : 0.486, Accuracy : 0.828, F1 : 0.289
[TEST ] Epoch 012 // (avg) Loss : 0.822, Accuracy : 0.718, F1 : 0.282
[TRAIN] Epoch 013 // (avg) Loss : 0.413, Accuracy : 0.852, F1 : 0.290
[TEST ] Epoch 013 // (avg) Loss : 0.701, Accuracy : 0.777, F1 : 0.293
[TRAIN] Epoch 014 // (avg) Loss : 0.319, Accuracy : 0.885, F1 : 0.290
[TEST ] Epoch 014 // (avg) Loss : 0.710, Accuracy : 0.781, F1 : 0.296
[TRAIN] Epoch 015 // (avg) Loss : 0.247, Accuracy : 0.909, F1 : 0.290
[TEST ] Epoch 015 // (avg) Loss : 0.852, Accuracy : 0.770, F1 : 0.296
[TRAIN] Epoch 016 // (avg) Loss : 0.184, Accuracy : 0.936, F1 : 0.290
[TEST ] Epoch 016 // (avg) Loss : 0.815, Accuracy : 0.800, F1 : 0.293
[TRAIN] Epoch 017 // (avg) Loss : 0.142, Accuracy : 0.951, F1 : 0.291
[TEST ] Epoch 017 // (avg) Loss : 0.998, Accuracy : 0.779, F1 : 0.284
[TRAIN] Epoch 018 // (avg) Loss : 0.172, Accuracy : 0.938, F1 : 0.291
[TEST ] Epoch 018 // (avg) Loss : 1.109, Accuracy : 0.751, F1 : 0.296
[TRAIN] Epoch 019 // (avg) Loss : 0.116, Accuracy : 0.961, F1 : 0.291
[TEST ] Epoch 019 // (avg) Loss : 0.876, Accuracy : 0.784, F1 : 0.280
[TRAIN] Epoch 020 // (avg) Loss : 0.085, Accuracy : 0.971, F1 : 0.291
[TEST ] Epoch 020 // (avg) Loss : 1.390, Accuracy : 0.735, F1 : 0.289
[TRAIN] Epoch 021 // (avg) Loss : 0.064, Accuracy : 0.980, F1 : 0.291
[TEST ] Epoch 021 // (avg) Loss : 0.773, Accuracy : 0.823, F1 : 0.290
[TRAIN] Epoch 022 // (avg) Loss : 0.061, Accuracy : 0.981, F1 : 0.291
[TEST ] Epoch 022 // (avg) Loss : 1.034, Accuracy : 0.770, F1 : 0.278
[TRAIN] Epoch 023 // (avg) Loss : 0.067, Accuracy : 0.977, F1 : 0.291
[TEST ] Epoch 023 // (avg) Loss : 0.837, Accuracy : 0.837, F1 : 0.293
[TRAIN] Epoch 024 // (avg) Loss : 0.068, Accuracy : 0.979, F1 : 0.291
[TEST ] Epoch 024 // (avg) Loss : 1.298, Accuracy : 0.763, F1 : 0.272
[TRAIN] Epoch 025 // (avg) Loss : 0.049, Accuracy : 0.983, F1 : 0.291
